1	24
2	57
3	26
4	74
5	31
6	62
7	44
8	53
9	46
10	49
11	30
12	21
13	18
14	46
15	19
16	47
17	22
18	54
19	21
20	53
21	48
22	39
23	50
24	40
25	32
26	45
27	27
28	20
29	28
30	41
31	49
32	53
33	53
34	32
35	29
36	21
37	48
38	46
39	29
40	48
41	23
42	29
43	28
44	33
45	66
46	44
47	31
48	43
49	35
50	52
51	55
52	33
53	27
54	44
55	43
56	40
57	49
58	50
59	23
60	49
61	36
62	58
63	39
64	54
65	37
66	24
67	29
68	36
69	51
70	46
71	59
72	33
73	53
74	20
75	45
76	24
77	53
78	47
79	51
80	61
81	59
82	25
83	44
84	42
85	25
86	57
87	32
88	58
89	39
90	46
91	49
92	49
93	51
94	45
95	17
96	28
97	36
98	56
99	34
100	21
101	25
102	62
103	57
104	30
105	39
106	71
107	35
108	25
109	58
110	24
111	52
112	59
113	54
114	36
115	49
116	41
117	17
118	56
119	52
120	49
121	36
122	58
123	33
124	34
125	67
126	50
127	25
128	29
129	25
130	56
131	52
132	64
133	46
134	28
135	49
136	65
137	34
138	57
139	29
140	59
141	62
142	26
143	20
144	29
145	34
146	42
147	29
148	59
149	19
150	46
151	46
152	62
153	64
154	22
155	39
156	40
157	39
158	25
159	57
160	42
161	33
162	54
163	34
164	30
165	42
166	26
167	44
168	37
169	55
170	69
171	18
172	28
173	42
174	59
175	52
176	45
177	22
178	25
179	56
180	61
181	54
182	33
183	49
184	37
185	58
186	64
187	26
188	50
189	31
190	44
191	47
192	59
193	41
194	44
195	67
196	34
197	55
198	56
199	35
200	47
201	27
202	63
203	30
204	49
205	49
206	41
207	64
208	16
209	42
210	52
211	39
212	46
213	19
214	69
215	27
216	18
217	32
218	31
219	23
220	50
221	41
222	47
223	43
224	37
225	51
226	60
227	53
228	41
229	51
230	45
231	43
232	32
233	30
234	34
235	17
236	46
237	40
238	46
239	18
240	55
241	63
242	18
243	31
244	63
245	68
246	44
247	57
248	37
249	57
250	20
251	44
252	53
253	58
254	50
255	54
256	36
257	19
258	49
259	38
260	53
261	38
262	39
263	54
264	43
265	29
266	23
267	51
268	63
269	56
270	20
271	39
272	56
273	31
274	59
275	53
276	48
277	35
278	30
279	40
280	61
281	52
282	37
283	35
284	44
285	43
286	20
287	65
288	39
289	65
290	51
291	44
292	49
293	48
294	20
295	28
296	25
297	43
298	55
299	36
300	30
